date,north_area_ft2,south_area_ft2,north_volume_ft3,south_volume_ft3
2011-05-02,12699710845.936426,21964962094.504932,178731052824.48065,349051746860.952
2011-05-03,12797398497.822548,22077704685.376167,180002896732.87363,351036605465.4502
2011-05-04,12827542280.212122,22115167139.483624,180389028141.06198,351699382404.2782
2011-05-05,12749695506.167608,22065854411.336765,179366976113.72034,350814282535.274
2011-05-06,12797398497.822548,22065854411.336765,180002896732.87363,350814282535.274
2011-05-07,12847303851.516138,22102579977.631237,180646371856.17844,351478775134.2891
2011-05-08,13016674239.222235,22273206486.68445,182975916306.96744,354364823143.9142
2011-05-09,13035437208.028545,22501344936.966984,183232204866.77255,357945596490.0302
2011-05-10,13007469991.731627,22358664287.089535,182843827227.24948,355700503437.1699
2011-05-11,12996205135.451715,22414354396.423912,182715440189.48416,356596769876.7158
2011-05-12,12951817682.090996,22386116840.517574,182064835582.9293,356148515614.23016
2011-05-13,13024870265.914543,22428790100.26859,183104584372.731,356820050312.93427
2011-05-14,12980051190.540606,22372911228.97959,182455754635.67947,355923538830.68616
2011-05-15,12902393470.112633,22331220099.71674,181419431068.31012,355253151135.0293
2011-05-16,13120469951.799017,22501344936.966984,184411507336.86078,357945596490.0302
2011-05-17,13074062773.674126,22386116840.517574,183754954144.51694,356148515614.23016
2011-05-18,13281883700.263527,22561577778.49256,186655393504.82272,358847347005.9429
2011-05-19,13326815975.256567,22727783906.45003,187319073913.83286,361335490070.8706
2011-05-20,13345257608.660585,22783973409.450817,187586687643.63968,362246743074.5715
2011-05-21,13242890031.208727,22798224738.870953,186125971730.46524,362474017806.799
2011-05-22,13334959923.400608,22877070650.81255,187454468564.8289,363845533226.09607
2011-05-23,13290714028.742283,22851515931.358433,186786519495.1028,363387774563.1759
2011-05-24,13435603316.973366,23036772339.704697,188926593523.55447,366827142877.1049
2011-05-25,13381460152.063137,23036772339.704697,188121598533.60428,366827142877.1049
2011-05-26,13584347622.125433,23098568434.15905,191088576823.71646,367982204155.9478
2011-05-27,13545249835.564417,23098568434.15905,190545470697.89026,367982204155.9478
2011-05-28,13629337929.622126,23187136147.49697,191767570209.03168,369602865225.3095
2011-05-29,13727036968.048199,23312121640.051716,193136996356.63715,371925874502.86194
2011-05-30,13757605037.920795,23424457571.978798,193546208335.4384,374029944870.89716
2011-05-31,13519628695.4562,23360945359.706936,190137320778.32602,372859779727.1931
2011-06-01,13621412792.0653,23373875734.65582,191632923062.52295,373092651175.35657
2011-06-02,13842365069.248604,23539395840.800747,194651610394.6521,376146122962.40576
2011-06-03,13789591220.326555,23628850163.032837,193961892036.03302,377792997301.6978
2011-06-04,13779299995.541695,23602642190.483852,193822230803.723,377324845838.4083
2011-06-05,13779299995.541695,23652529899.653534,193822230803.723,378266344436.9865
2011-06-06,13862282877.48395,23665506249.82635,194928266843.03394,378502119712.1252
2011-06-07,13874821011.114826,23652529899.653534,195068867588.9533,378266344436.9865
2011-06-08,13944556130.9507,23740359864.876328,195625601262.51773,379925385024.00507
2011-06-09,13964806657.747854,23828307980.98705,195763611108.22757,381593036193.82275
2011-06-10,13944556130.9507,23828307980.98705,195625601262.51773,381593036193.82275
2011-06-11,14065184023.29287,23828307980.98705,196883871954.45486,381593036193.82275
2011-06-12,14088889988.161049,23943834386.15271,197166203058.15872,383738889735.7462
2011-06-13,14039421253.595287,23892397934.642014,196604241451.74362,382786276933.87036
2011-06-14,14050043961.854067,23906186861.259556,196741632481.56592,383026415478.3619
2011-06-15,14171444983.682287,23931462793.370964,198014772704.4632,383498185152.58484
2011-06-16,14420035207.8004,24191075425.2994,200584791713.44055,388315247419.79614
2011-06-17,14129617881.791103,23996775109.479645,197587589232.1813,384698953239.8475
2011-06-18,14213651625.027874,24009938082.79737,198438797106.3259,384938398392.792
2011-06-19,14366539125.13624,24165909675.932995,200013737905.9248,387830874749.72925
2011-06-20,14199976511.485336,24075031969.278984,198298657638.05466,386142675308.8014
2011-06-21,14199976511.485336,24088218805.626938,198298657638.05466,386382420427.4446
2011-06-22,14238126299.003223,24088218805.626938,198723904551.77344,386382420427.4446
2011-06-23,14354192529.730589,24100495082.395832,199868670982.13605,386624321777.8952
2011-06-24,14516386485.910696,24165909675.932995,201600923802.68454,387830874749.72925
2011-06-25,14540561788.659159,24241686359.279667,201891016080.70773,389284601959.8016
2011-06-26,14489406430.86825,24254676163.514915,201310239252.69785,389521521005.10913
2011-06-27,14395782689.367556,24217593660.592762,200296387598.084,388799822274.8706
2011-06-28,14340277210.234913,24061363542.23436,199726654544.7388,385900464802.8383
2011-06-29,14408150044.921656,24035821831.30792,200442321198.14218,385418536417.7573
2011-06-30,14631252702.548851,24165909675.932995,202912042231.39157,387830874749.72925
2011-07-01,14500665646.381199,24165909675.932995,201453681357.04987,387830874749.72925
2011-07-02,14489406430.86825,24140160203.744843,201310239252.69785,387347710159.4284
2011-07-03,14489406430.86825,24112832333.79217,201310239252.69785,386864752352.95013
2011-07-04,14461573226.386324,24061363542.23436,201020446078.4755,385900464802.8383
2011-07-05,14500665646.381199,24112832333.79217,201453681357.04987,386864752352.95013
2011-07-06,14551839278.482206,24112832333.79217,202034861862.54773,386864752352.95013
2011-07-07,14540561788.659159,24178911583.667873,201891016080.70773,388074089732.1129
2011-07-08,14579363240.54729,24178911583.667873,202327183148.82996,388074089732.1129
2011-07-09,14619734541.852978,24191075425.2994,202766961291.5005,388315247419.79614
2011-07-10,14420035207.8004,24061363542.23436,200584791713.44055,385900464802.8383
2011-07-11,14436402697.702435,24088218805.626938,200730805310.70755,386382420427.4446
2011-07-12,14408150044.921656,24088218805.626938,200442321198.14218,386382420427.4446
2011-07-13,14500665646.381199,23996775109.479645,201453681357.04987,384698953239.8475
2011-07-14,14540561788.659159,23983155977.986183,201891016080.70773,384457457927.64874
